,matched_id,rowid,school,district_y,address_y,original_name_y
145,1767,1767,John Muir Middle(LAUSD),Los Angeles Unified,5929 South Vermont Ave.,John Muir Middle(LAUSD)
146,1551,1551,Joseph Le Conte Middle(LAUSD),Los Angeles Unified,1316 North Bronson Ave.,Joseph Le Conte Middle(LAUSD)
147,1551,1551,Joseph Le Conte Middle(LAUSD),Los Angeles Unified,1316 North Bronson Ave.,Joseph Le Conte Middle(LAUSD)
148,1553,1553,Judith F. Baca Arts Academy(LAUSD),Los Angeles Unified,1536 East 89th St.,Judith F. Baca Arts Academy(LAUSD)
149,2032,2032,King/Drew Medical Magnet High(LAUSD),Los Angeles Unified,1601 East 120th St.,King/Drew Medical Magnet High(LAUSD)
150,1707,1707,Lake Street Primary(LAUSD),Los Angeles Unified,135 North Lake St.,Lake Street Primary(LAUSD)
151,1411,1411,Thirty-Second Street/ 32nd St. USC Performing Arts(LAUSD),Los Angeles Unified,822 West 32nd St.,Thirty-Second Street/ 32nd St. USC Performing Arts(LAUSD)
152,1868,1868,"Science, Technology, Engineering, Arts and Mathematics at Legacy High School Complex(LAUSD)",Los Angeles Unified,5225 Tweedy Blvd.,"Science, Technology, Engineering, Arts and Mathematics at Legacy High School Complex(LAUSD)"
153,1503,1503,Abraham Lincoln Senior High(LAUSD),Los Angeles Unified,3501 North Broadway,Abraham Lincoln Senior High(LAUSD)
154,1503,1503,Abraham Lincoln Senior High(LAUSD),Los Angeles Unified,3501 North Broadway,Abraham Lincoln Senior High(LAUSD)
155,1770,1770,Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine(LAUSD),Los Angeles Unified,6361 Cottage St.,Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine(LAUSD)
156,1779,1779,Logan Academy of Global Ecology(LAUSD),Los Angeles Unified,1711 West Montana St.,Logan Academy of Global Ecology(LAUSD)
157,2036,2036,Luther Burbank Middle (LAUSD),Los Angeles Unified,6460 North Figueroa St.,Luther Burbank Middle (LAUSD)
158,2036,2036,Luther Burbank Middle (LAUSD),Los Angeles Unified,6460 North Figueroa St.,Luther Burbank Middle (LAUSD)
159,2037,2037,MacArthur Park Elementary School for the Visual and Performing Arts(LAUSD),Los Angeles Unified,2300 West Seventh St.,MacArthur Park Elementary School for the Visual and Performing Arts(LAUSD)
160,2039,2039,Madison Elementary South Gate,Los Angeles Unified,9820 Madison Ave.,Madison Elementary South Gate
161,2045,2045,Manual Arts Senior High(LAUSD),Los Angeles Unified,4131 South Vermont Ave.,Manual Arts Senior High(LAUSD)
162,2047,2047,Maple Primary Center(LAUSD),Los Angeles Unified,3601 South Maple Ave.,Maple Primary Center(LAUSD)
163,1321,1321,Martin Luther King Jr. Elementary(LAUSD),Los Angeles Unified,3989 South Hobart Blvd.,Martin Luther King Jr. Elementary(LAUSD)
164,1331,1331,Mayall Street Elementary(LAUSD),Los Angeles Unified,16701 Mayall St.,Mayall Street Elementary(LAUSD)
165,2202,2202,Melrose Avenue Elementary(LAUSD),Los Angeles Unified,731 North Detroit St.,Melrose Avenue Elementary(LAUSD)
166,2252,2252,Mervyn M. Dymally High(LAUSD),Los Angeles Unified,8800 South San Pedro St.,Mervyn M. Dymally High(LAUSD)
167,2257,2257,Micheltorena Street Elementary(LAUSD),Los Angeles Unified,1511 Micheltorena St.,Micheltorena Street Elementary(LAUSD)
168,1251,1251,Contreras Learning Center-Academic Leadership Community(LAUSD),Los Angeles Unified,322 Lucas Ave.,Contreras Learning Center-Academic Leadership Community(LAUSD)
169,1252,1252,Contreras Learning Center-Los Angeles School of Global Studies(LAUSD),Los Angeles Unified,322 Lucas Ave.,Contreras Learning Center-Los Angeles School of Global Studies(LAUSD)
