id,district,status,school_name,school_name_with_some_districts_attached,participating,address_x,address_y,city_x,city_y,score,duped
659,LAUSD,Closed,Grant Elementary (LAUSD),Grant Elementary (Vallejo City Unified),True,1530 N Wilton Pl,740 Fifth St.,Los Angeles,Vallejo, 100.0,True
660,LAUSD,Active,Grant Elementary (LAUSD),Grant Elementary (Petaluma City Elementary),True,1530 N Wilton Pl,200 Grant Ave.,Los Angeles,Petaluma, 100.0,True
661,LAUSD,,Grant Elementary DL Two-Way Im Armenian (LAUSD),Grant Elementary DL Two-Way Im Armenian,True,1530 N Wilton Pl,,Los Angeles,, 90.0,False
662,LAUSD,Active,Grape Street Elementary (LAUSD),Grape Street Elementary,True,1940 E 111th St,1940 East 111th St.,Los Angeles,Los Angeles, 100.0,False
663,LAUSD,,Gratts LA For YS DL One-Way Im Spanish (LAUSD),Gratts LA For YS DL One-Way Im Spanish,True,309 Lucas Ave,,Los Angeles,,,False
664,LAUSD,Active,Gratts Learning Academy for Young Scholars (GLAYS) (LAUSD),Gratts Learning Academy for Young Scholars (GLAYS),True,309 Lucas Ave,309 Lucas Ave.,Los Angeles,Los Angeles, 100.0,False
665,LAUSD,Active,Gridley Street Elementary (LAUSD),Gridley Street Elementary,True,1907 8th St,1907 Eighth St.,San Fernando,San Fernando, 100.0,False
666,LAUSD,,Gridley Street Elementary DL Two-Way Im Spanish (LAUSD),Gridley Street Elementary DL Two-Way Im Spanish,True,1907 8th St,,San Fernando,, 90.0,False
667,LAUSD,Active,Griffin Avenue Elementary (LAUSD),Griffin Avenue Elementary,True,2025 Griffin Ave,2025 Griffin Ave.,Los Angeles,Los Angeles, 100.0,False
668,LAUSD,,Griffith Middle School STEAM Magnet (LAUSD),Griffith Middle School STEAM Magnet,True,4765 E 4th St,,Los Angeles,, 90.0,False
669,LAUSD,,Grover Cleveland Charter High School (LAUSD),Grover Cleveland Charter High School,True,8140 Vanalden Ave,,Reseda,, 95.0,False
670,LAUSD,,Grover Cleveland Charter High School GMS Magnet (LAUSD),Grover Cleveland Charter High School GMS Magnet,True,8140 Vanalden Ave,,Reseda,, 90.0,False
671,LAUSD,,Grover Cleveland Charter High School Humanities Magnet (LAUSD),Grover Cleveland Charter High School Humanities Magnet,True,8140 Vanalden Ave,,Reseda,, 90.0,False
672,LAUSD,Active,Gulf Avenue Elementary (LAUSD),Gulf Avenue Elementary,True,828 W L St,828 West L St.,Wilmington,Wilmington, 100.0,False
