school,district,street,city,state,zip
Palms Elementary (ABC Unified),ABC Unified,12445 East 207th St.,Lakewood,CA,90715-1619
Ross (Faye) Middle (ABC Unified),ABC Unified,17707 Elaine Ave.,Artesia,CA,90701-4018
Stowers(Cecil B.) Elementary (ABC Unified),ABC Unified,13350 Beach St.,Cerritos,CA,90703-1331
Tetzlaff (Martin B.) Middle (ABC Unified),ABC Unified,12351 East Del Amo Blvd.,Cerritos,CA,90703-7635
Tracy (Wilbur) High (Continuation) (ABC Unified),ABC Unified,12222 Cuesta Dr.,Cerritos,CA,90703-2801
Valley Christian High School (ABC Unified),ABC Unified,17700 Dumont Ave.,Cerritos,CA,90703-2661
Whitney (Gretchen) High (ABC Unified),ABC Unified,16800 Shoemaker Ave.,Cerritos,CA,90703-1244
Willow Elementary (ABC Unified),ABC Unified,11733 East 205th St.,Lakewood,CA,90715-1324
Wittmann (Helen) Elementary (ABC Unified),ABC Unified,16801 Yvette Ave.,Cerritos,CA,90703-1245
ABC Adult (ABC Unified),ABC Unified,12254 Cuesta Dr.,Cerritos,CA,90703-2801
ABC Secondary (Alternative) (ABC Unified),ABC Unified,16534 South Carmenita Rd.,Cerritos,CA,90703-2301
Aloha Elementary (ABC Unified),ABC Unified,11737 East 214th St.,Lakewood,CA,90715-2101
Artesia High (ABC Unified),ABC Unified,12108 East Del Amo Blvd.,Lakewood,CA,90715-1516
Bragg Elementary (ABC Unified),ABC Unified,11501 Bos St.,Cerritos,CA,90703-6742
Burbank (Luther) Elementary (ABC Unified),ABC Unified,17711 Roseton Ave.,Artesia,CA,90701-3837
Carmenita Middle (ABC Unified),ABC Unified,13435 East 166th St.,Cerritos,CA,90703-2301
Carver (Charles J.) Elementary (Cerritos) (ABC Unified),ABC Unified,19200 East Ely St.,Cerritos,CA,90703-7157
Cerritos Elementary (Cerritos) (ABC Unified),ABC Unified,13600 East 183rd St.,Cerritos,CA,90703-8951
Cerritos High (ABC Unified),ABC Unified,12500 East 183rd St.,Cerritos,CA,90703-8450
Elliott (William F) Elementary (ABC Unified),ABC Unified,18415 Cortner Ave.,Artesia,CA,90703-8402
Fedde (Pharis F.) Middle (ABC Unified),ABC Unified,21409 South Elaine Ave.,Hawaiian Gardens,CA,90716-1025
Furgeson (Venn W.) Elementary (ABC Unified),ABC Unified,22215 Elaine Ave.,Hawaiian Gardens,CA,90716-1417
Gahr (Richard) High (ABC Unified),ABC Unified,11111 Artesia Blvd.,Cerritos,CA,90703-2533
Gonsalves (Joe A.) Elementary (ABC Unified),ABC Unified,13650 Park St.,Cerritos,CA,90703-1413
Haskell (Pliny Fisk) Middle (ABC Unified),ABC Unified,11525 Del Amo Blvd.,Cerritos,CA,90703-7404
Hawaiian Elementary (ABC Unified),ABC Unified,12350 East 226th St.,Hawaiian Gardens,CA,90716-1721
Juarez (Benito) Elementary (ABC Unified),ABC Unified,11939 Aclare St.,Cerritos,CA,90703-2709
Kennedy (John F.) Elementary (ABC Unified),ABC Unified,17500 Belshire Ave.,Artesia,CA,90701-4352
Leal (Frank C.) Elementary (ABC Unified),ABC Unified,12920 Droxford St.,Cerritos,CA,90703-6068
Melbourne (Ella P.) Elementary (ABC Unified),ABC Unified,21314 Claretta Ave.,Lakewood,CA,90715-2301
Niemes (John H.) Elementary (ABC Unified),ABC Unified,16715 Jersey Ave.,Artesia,CA,90701-1750
Nixon (Patricia) Elementary (ABC Unified),ABC Unified,19600 Jacob Ave.,Cerritos,CA,90703-7526
Our Lady of Fatima (ABC Unified),ABC Unified,18626 Clarkdale Ave.,Artesia,CA,90701-5815
"Method Schools, LA (Acton-Agua Dulce Unified)",Acton-Agua Dulce Unified,24620 Jefferson Ave.,Murrieta,CA,92562-9024
Mission Academy (Acton-Agua Dulce Unified),Acton-Agua Dulce Unified,"32248 Crown Valley Rd., Rm.114",Acton,CA,93510
SIATech Academy South (Acton-Agua Dulce Unified),Acton-Agua Dulce Unified,255 S. Mednik Ave.,Los Angeles,CA,90022-1607
Vasquez High (Acton-Agua Dulce Unified),Acton-Agua Dulce Unified,33630 Red Rover Mine Rd.,Acton,CA,93510-1641
Assurance Learning Academy (Acton-Agua Dulce Unified),Acton-Agua Dulce Unified,"43145 Business Center, Ste. 102-103",Lancaster,CA,93535-4564
California Pacific Charter- Los Angeles (Acton-Agua Dulce Unified),Acton-Agua Dulce Unified,"4101 Birch St., Ste. 150",Newport Beach,CA,92660-2236
Compass Charter Schools of Los Angeles (Acton-Agua Dulce Unified),Acton-Agua Dulce Unified,"850 Hampshire Rd., Ste. R",Thousand Oaks,CA,91361-6004
Empower Generations (Acton-Agua Dulce Unified),Acton-Agua Dulce Unified,"43301 Division St., Ste. 305",Lancaster,CA,93535-5218
High Desert (Acton-Agua Dulce Unified),Acton-Agua Dulce Unified,3620 Antelope Woods Rd.,Acton,CA,93510-1757
iLead Agua Dulce (Acton-Agua Dulce Unified),Acton-Agua Dulce Unified,11311 Frascati St.,Agua Dulce,CA,91390-4840
iLEAD Hybrid (Acton-Agua Dulce Unified),Acton-Agua Dulce Unified,3720 Sierra Hwy. Ste. A,Acton,CA,93510-0500
iLEAD Online (Acton-Agua Dulce Unified),Acton-Agua Dulce Unified,3720 Sierra Hwy.,Acton,CA,93510-0500
Meadowlark Elementary (Acton-Agua Dulce Unified),Acton-Agua Dulce Unified,3015 West Sacramento St.,Acton,CA,93510-2434
Alhambra High (Alhambra Unified),Alhambra Unified,101 South Second St.,Alhambra,CA,91801-3716
All Souls School (Alhambra Unified),Alhambra Unified,29 South Electric Ave.,Alhambra,CA,91801-1965
Alpha-Shen Kindergarten (Alhambra Unified),Alhambra Unified,618 North Moore Ave.,Monterey Park,CA,91754-1020
Bell Tower Trilingual School (Alhambra Unified),Alhambra Unified,3116 West Main St.,Alhambra,CA,91801-1667
Brightwood Elementary (Alhambra Unified),Alhambra Unified,1701 Brightwood St.,Monterey Park,CA,91754-5100
Century High (Alhambra Unified),Alhambra Unified,20 South Marengo Ave.,Alhambra,CA,91801-1947
Emery Park Elementary (Alhambra Unified),Alhambra Unified,2821 West Commonwealth Ave.,Alhambra,CA,91803-1099
Marguerita Elementary (Alhambra Unified),Alhambra Unified,1603 South Marguerita Ave.,Alhambra,CA,91803-3199
Mark Keppel High (Alhambra Unified),Alhambra Unified,501 East Hellman Ave.,Alhambra,CA,91801-5716
Martha Baldwin Elementary (Alhambra Unified),Alhambra Unified,900 South Almansor St.,Alhambra,CA,91801-4854
Monterey Highlands Elementary (Alhambra Unified),Alhambra Unified,400 Casuda Canyon Dr.,Monterey Park,CA,91754-2204
Oneonta Montessori School (Alhambra Unified),Alhambra Unified,2221 Poplar Blvd.,Alhambra,CA,91801-3051
Park Elementary (Alhambra Unified),Alhambra Unified,301 North Marengo Ave.,Alhambra,CA,91801-1917
Ramona Convent Secondary School (Alhambra Unified),Alhambra Unified,1701 West Ramona Rd.,Alhambra,CA,91803-3080
Ramona Elementary (Alhambra Unified),Alhambra Unified,509 West Norwood Pl.,Alhambra,CA,91803-3217
Repetto Elementary (Alhambra Unified),Alhambra Unified,650 South Grandridge Ave.,Monterey Park,CA,91754-3921
San Gabriel High (Alhambra Unified),Alhambra Unified,801 Ramona St.,San Gabriel,CA,91776-2342
Sierra School of Alhambra (Alhambra Unified),Alhambra Unified,9 N Almansor St.,Alhambra,CA,91801-2616
St. Stephen Martyr (Alhambra Unified),Alhambra Unified,119 South Ramona Ave.,Monterey Park,CA,91754-2802
Emmaus Lutheran (Alhambra Unified),Alhambra Unified,840 South Almansor,Alhambra,CA,91801-4538
Foothill Preparatory School (Alhambra Unified),Alhambra Unified,9123 BRd.way,Temple City,CA,91780
Fremont Elementary (Alhambra Unified),Alhambra Unified,2001 South Elm St.,Alhambra,CA,91803-2905
Garfield Elementary (Alhambra Unified),Alhambra Unified,110 West McLean St.,Alhambra,CA,91801-1364
Granada Elementary (Alhambra Unified),Alhambra Unified,100 South Granada Ave.,Alhambra,CA,91801-4021
Happy Day School Inc. (Alhambra Unified),Alhambra Unified,507 N. Chandler Ave,Monterey Park,CA,91754-1011
Independence High (Alternative) (Alhambra Unified),Alhambra Unified,20 South Marengo Ave.,Alhambra,CA,91801-1947
Lily's Garden Preschool and Kindergarten (Alhambra Unified),Alhambra Unified,616 S Chapel Ave,Alhambra,CA,91801-4401
St. Therese School (Alhambra Unified),Alhambra Unified,1106 East Alhambra Rd.,Alhambra,CA,91801-2854
William Northrup Elementary (Alhambra Unified),Alhambra Unified,409 South Atlantic Blvd.,Alhambra,CA,91801-3643
Ynez Elementary (Alhambra Unified),Alhambra Unified,120 South Ynez Ave.,Monterey Park,CA,91754-2822
St. Thomas More Catholic Elementary (Alhambra Unified),Alhambra Unified,2510 South Fremont Ave.,Alhambra,CA,91803-4321
Alliance Leichtman-Levine Family Foundation Environmental Science High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,2930 Fletcher Dr.,Los Angeles,CA,90065-1407
Alliance Marc & Eva Stern Math and Science (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,"5151 State University Dr., Lot 2",Los Angeles,CA,90032-4226
Alliance Margaret M. Bloomfield Technology Academy High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,7907 Santa Fe Ave.,Huntington Park,CA,90255-6630
Alliance Marine - Innovation and Technology 6-12 Complex (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,11933 Allegheny St.,Sun Valley,CA,91352-1834
Alliance Morgan McKinzie High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,110 South Townsend Ave.,Los Angeles,CA,90063-2437
Alliance Ouchi-O'Donovan 6-12 Complex (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,5356 South Fifth Ave.,Los Angeles,CA,90043-2622
Alliance Patti And Peter Neuwirth Leadership Academy (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,4610 South Main St.,Los Angeles,CA,90037-2736
Alliance Piera Barbaglia Shaheen Health Services Academy (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,8515 Kansas Ave.,Los Angeles,CA,90044-3496
Alliance Renee and Meyer Luskin Academy High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,2941 West 70th St.,Los Angeles,CA,90043-4420
Alliance Susan and Eric Smidt Technology High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,211 South Avenue 20,Los Angeles,CA,90031-2508
Alliance Ted K. Tajima High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,1552 W. Rockwood St.,Los Angeles,CA,90026-5520
Alliance Tennenbaum Family Technology High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,2050 North San Fernando Rd.,Los Angeles,CA,90065-1267
Alliance Virgil Roberts Leadership Academy (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,2941 West 70th St.,Los Angeles,CA,90043-4420
Alliance Cindy and Bill Simon Technology Academy High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,10720 South Wilmington Ave.,Los Angeles,CA,90059-1236
Alliance College-Ready Middle Academy 12 (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,131 East 50th St.,Los Angeles,CA,90011-3937
Alliance College-Ready Middle Academy 4 (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,9719 South Main St.,Los Angeles,CA,90003-4135
Alliance College-Ready Middle Academy 8 (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,113 South Rowan Ave.,Los Angeles,CA,90063-2434
Alliance Collins Family College-Ready High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,2071 Saturn Ave.,Huntington Park,CA,90255-3635
Alliance Dr. Olga Mohan High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,644 West 17th St.,Los Angeles,CA,90015-3400
Alliance Gertz-Ressler Richard Merkin 6-12 Complex (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,2023 South Union Ave.,Los Angeles,CA,90007-1326
Alliance Jack H. Skirball Middle (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,603 East 115th St.,Los Angeles,CA,90059-2322
Alliance Judy Ivie Burton Technology Academy High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,10101 South Broadway,Los Angeles,CA,90003-4534
Alliance Kory Hunter Middle (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,5886 Compton Ave.,Los Angeles,CA,90001-1345
Antelope Valley ROP (Antelope Valley ROP),Antelope Valley ROP,1156 East Ave. S,Palmdale,CA,93550-6149
SOAR High (Students On Academic Rise) (Antelope Valley Union High),Antelope Valley Union High,3041 West Avenue K,Lancaster,CA,93536-5426
Stanza International Academy (Antelope Valley Union High),Antelope Valley Union High,177 Holston Dr.,Lancaster,CA,93535-4570
William J. (Pete) Knight High (Antelope Valley Union High),Antelope Valley Union High,37423 70th St. East,Palmdale,CA,93552-4800
Academies of the Antelope Valley (Antelope Valley Union High),Antelope Valley Union High,6300 West Avenue L,Quartz Hill,CA,93536-4540
Antelope Valley Adult/Independent Study (Antelope Valley Union High),Antelope Valley Union High,45110 Third St. East,Lancaster,CA,93535-2502
Antelope Valley High (Antelope Valley Union High),Antelope Valley Union High,44900 North Division St.,Lancaster,CA,93535-2538
Desert Sands Charter (Antelope Valley Union High),Antelope Valley Union High,44130 20th St. West,Lancaster,CA,93534-4045
Desert Winds Continuation High (Antelope Valley Union High),Antelope Valley Union High,415 East Kettering St.,Lancaster,CA,93535-2503
Eastside High (Antelope Valley Union High),Antelope Valley Union High,3200 East Ave. J-8,Lancaster,CA,93535-5827
Highland High (Antelope Valley Union High),Antelope Valley Union High,39055 25th St. West,Palmdale,CA,93551-4164
Lancaster High (Antelope Valley Union High),Antelope Valley Union High,44701 32nd St. West,Lancaster,CA,93536-7023
Littlerock High (Antelope Valley Union High),Antelope Valley Union High,10833 East Avenue R,Littlerock,CA,93543-4106
Palmdale High (Antelope Valley Union High),Antelope Valley Union High,2137 East Avenue R,Palmdale,CA,93550-5415
Paraclete High School (Antelope Valley Union High),Antelope Valley Union High,42145 N. 30Th St. W,Lancaster,CA,93536-3344
Phoenix High Community Day (Antelope Valley Union High),Antelope Valley Union High,"228 East Ave., H8",Lancaster,CA,93535-1809
Quartz Hill High (Antelope Valley Union High),Antelope Valley Union High,6040 West Avenue L,Quartz Hill,CA,93536-4501
R. Rex Parris High (Antelope Valley Union High),Antelope Valley Union High,38801 Clock Tower Plaza Dr.,Palmdale,CA,93550-3346
Arcadia Christian School (Arcadia Unified),Arcadia Unified,1900 South Santa Anita Ave.,Arcadia,CA,91006-4607
Arcadia College Preparatory (Arcadia Unified),Arcadia Unified,"145 East Duarte Rd., Unit 801",Arcadia,CA,91006-3993
Arcadia High (Arcadia Unified),Arcadia Unified,180 Campus Dr.,Arcadia,CA,91007-6958
Arcadia Montessori School (Arcadia Unified),Arcadia Unified,1406 South Santa Anita Ave.,Arcadia,CA,91006-4013
Arroyo Pacific Academy (Arcadia Unified),Arcadia Unified,325 North Santa Anita Ave.,Arcadia,CA,91006-2878
Baldwin Stocker Elementary (Arcadia Unified),Arcadia Unified,422 West Lemon Ave.,Arcadia,CA,91007-6902
Barnhart School (Arcadia Unified),Arcadia Unified,240 West Colorado Blvd.,Arcadia,CA,91007-2606
Camino Grove Elementary (Arcadia Unified),Arcadia Unified,700 Camino Grove Ave.,Arcadia,CA,91007-6902
First Avenue Middle (Arcadia Unified),Arcadia Unified,301 South First Ave.,Arcadia,CA,91006-3802
Foothills Middle (Arcadia Unified),Arcadia Unified,171 East Sycamore Ave.,Arcadia,CA,91006-2452
Highland Oaks Elementary (Arcadia Unified),Arcadia Unified,10 Virginia Dr.,Arcadia,CA,91006-1899
Holly Avenue Elementary (Arcadia Unified),Arcadia Unified,360 West Duarte Rd.,Arcadia,CA,91007-3097
Holy Angels School (Arcadia Unified),Arcadia Unified,360 Campus Dr.,Arcadia,CA,91007-6917
Hugo Reid Elementary (Arcadia Unified),Arcadia Unified,1000 Hugo Reid Dr.,Arcadia,CA,91007-6179
Longley Way Elementary (Arcadia Unified),Arcadia Unified,2601 Longley Way,Arcadia,CA,91007-5099
Rancho Learning Center (Alternative) (Arcadia Unified),Arcadia Unified,150 South Third Ave.,Arcadia,CA,91006-3703
Richard Henry Dana Middle (Arcadia Unified),Arcadia Unified,1401 South First Ave.,Arcadia,CA,91006-4134
Aspire Titan Academy (Aspire Public Schools District),Aspire Public Schools District,6720 South Alameda St.,Huntington Park,CA,90255-3617
Aspire Antonio Maria Lugo Academy (Aspire Public Schools District),Aspire Public Schools District,6100 Carmelita Ave.,Huntington Park,CA,90255-4138
Aspire Ollin University Preparatory Academy (Aspire Public Schools District),Aspire Public Schools District,2540 East 58th St.,Huntington Park,CA,90255-2659
Aspire Centennial College Preparatory Academy (Aspire Public Schools District),Aspire Public Schools District,2079 Saturn Ave.,Huntington Park,CA,90255-3635
Aspire Firestone Academy Charter (Aspire Public Schools District),Aspire Public Schools District,8929 Kauffman Ave.,South Gate,CA,90280-3422
Aspire Gateway Academy Charter (Aspire Public Schools District),Aspire Public Schools District,8929 Kauffman Ave.,South Gate,CA,90280-3422
Aspire Inskeep Academy Charter (Aspire Public Schools District),Aspire Public Schools District,123 West 59th St.,Los Angeles,CA,90003-1103
Aspire Juanita Tate Academy Charter (Aspire Public Schools District),Aspire Public Schools District,123 West 59th St.,Los Angeles,CA,90003-1103
Aspire Junior Collegiate Academy (Aspire Public Schools District),Aspire Public Schools District,6724 South Alameda St.,Huntington Park,CA,90255-4139
Aspire Pacific Academy (Aspire Public Schools District),Aspire Public Schools District,2565 58th St.,Huntington Park,CA,90255-4126
Aspire Slauson Academy Charter (Aspire Public Schools District),Aspire Public Schools District,123 West 59th St.,Los Angeles,CA,90003-1103
Alice M. Ellington Elementary (Azusa Unified),Azusa Unified,5034 North Clydebank,Covina,CA,91722-1115
Azusa Adult Education Center (Azusa Unified),Azusa Unified,1040 East Gladstone St.,Azusa,CA,91742
Clifford D. Murray Elementary (Azusa Unified),Azusa Unified,505 East Renwick Rd.,Azusa,CA,91702-5664
Foothill Middle (Azusa Unified),Azusa Unified,151 North Fenimore Ave.,Azusa,CA,91702-3921
Gladstone High (Azusa Unified),Azusa Unified,1340 North Enid,Covina,CA,91722-1214
Henry Dalton Elementary (Azusa Unified),Azusa Unified,500 East 10th St.,Azusa,CA,91702-2417
Longfellow (Azusa Unified),Azusa Unified,245 West 10th St.,Azusa,CA,91702-2310
Magnolia Elementary (Azusa Unified),Azusa Unified,945 East Nearfield,Azusa,CA,91702-4752
Paramount Elementary (Azusa Unified),Azusa Unified,409 West Paramount St.,Azusa,CA,91702-4423
Sierra High (Azusa Unified),Azusa Unified,1040 East Gladstone St.,Azusa,CA,91702-4837
Slauson Intermediate (Azusa Unified),Azusa Unified,340 West Fifth St.,Azusa,CA,91702-2912
St. Frances of Rome Elementary (Azusa Unified),Azusa Unified,734 North Pasadena Ave.,Azusa,CA,91702-2535
Valleydale Elementary (Azusa Unified),Azusa Unified,700 South Lark Ellen,Azusa,CA,91702-5499
Victor F. Hodge Elementary (Azusa Unified),Azusa Unified,700 West 11th St.,Azusa,CA,91702-1909
W. R. Powell Elementary (Azusa Unified),Azusa Unified,1035 East Mauna Loa,Azusa,CA,91702-4025
Azusa High (Azusa Unified),Azusa Unified,240 North Cerritos Ave.,Azusa,CA,91702-3733
Center Middle (Azusa Unified),Azusa Unified,5500 North Cerritos Ave.,Azusa,CA,91702-5731
Charles H. Lee Elementary (Azusa Unified),Azusa Unified,550 North Cerritos Ave.,Azusa,CA,91702-3013
Christbridge Academy (Azusa Unified),Azusa Unified,405 South Azusa Ave.,Azusa,CA,91702-4935
Baldwin Park Adult and Community Education (Baldwin Park Unified),Baldwin Park Unified,13307 Francisquito Ave.,Baldwin Park,CA,91706-4829
Baldwin Park High (Baldwin Park Unified),Baldwin Park Unified,3900 North Puente Ave.,Baldwin Park,CA,91706-4428
Central Elementary (Baldwin Park Unified),Baldwin Park Unified,14741 Central Ave.,Baldwin Park,CA,91706-5617
Charles Bursch Elementary (Baldwin Park Unified),Baldwin Park Unified,4245 North Merced Ave.,Baldwin Park,CA,91706-2960
Charles D. Jones Middle (Baldwin Park Unified),Baldwin Park Unified,14250 East Merced Ave.,Baldwin Park,CA,91706-5205
De Anza Elementary (Baldwin Park Unified),Baldwin Park Unified,12820 Bess St.,Baldwin Park,CA,91706-4546
East Valley Adventist (Baldwin Park Unified),Baldwin Park Unified,3554 Maine Ave.,Baldwin Park,CA,91706-5153
Elwin Elementary (Baldwin Park Unified),Baldwin Park Unified,13010 East Waco St.,Baldwin Park,CA,91706-3798
Ernest R. Geddes Elementary (Baldwin Park Unified),Baldwin Park Unified,14600 Cavette Pl.,Baldwin Park,CA,91706-2799
Foster Elementary (Baldwin Park Unified),Baldwin Park Unified,13900 Foster Ave.,Baldwin Park,CA,91706-4926
Jerry D. Holland Middle (Baldwin Park Unified),Baldwin Park Unified,4733 Landis Ave.,Baldwin Park,CA,91706-2565
Vineland Elementary (Baldwin Park Unified),Baldwin Park Unified,3609 Vineland Ave.,Baldwin Park,CA,91706-5398
Walnut Elementary (Baldwin Park Unified),Baldwin Park Unified,4701 North Walnut St.,Baldwin Park,CA,91706-2328
Kenmore Elementary (Baldwin Park Unified),Baldwin Park Unified,3823 Kenmore Ave.,Baldwin Park,CA,91706-4039
Margaret Heath Elementary (Baldwin Park Unified),Baldwin Park Unified,14321 School St.,Baldwin Park,CA,91706-1650
North Park Continuation High (Baldwin Park Unified),Baldwin Park Unified,4600 Bogart Ave.,Baldwin Park,CA,91706-2703
Olive Middle (Baldwin Park Unified),Baldwin Park Unified,13701 Olive St.,Baldwin Park,CA,91706-2398
Opportunities for Learning - Baldwin Park (Baldwin Park Unified),Baldwin Park Unified,"12731 Ramona Blvd., Ste. 201",Irwindale,CA,91706-3670
Pleasant View Elementary (Baldwin Park Unified),Baldwin Park Unified,14900 East Nubia St.,Baldwin Park,CA,91706-1999
Santa Fe Fundamental (Baldwin Park Unified),Baldwin Park Unified,4650 Baldwin Park Blvd.,Baldwin Park,CA,91706-2506
Sierra Vista High (Baldwin Park Unified),Baldwin Park Unified,3600 North Frazier St.,Baldwin Park,CA,91706-3897
Sierra Vista Middle (Baldwin Park Unified),Baldwin Park Unified,13400 Foster Ave.,Baldwin Park,CA,91706-4838
St. John the Baptist School (Baldwin Park Unified),Baldwin Park Unified,3870 Stewart Ave.,Baldwin Park`,CA,91706-4133
Tracy Elementary (Baldwin Park Unified),Baldwin Park Unified,13350 Tracy St.,Baldwin Park,CA,91706-4798
Bassett Adult (Bassett Unified),Bassett Unified,943 North Sunkist,La Puente,CA,91746-1696
Bassett Senior High (Bassett Unified),Bassett Unified,755 Ardilla Ave.,La Puente,CA,91746-2163
Bishop Amat Memorial High (Bassett Unified),Bassett Unified,14301 Fairgrove Ave.,La Puente,CA,91746-1712
Don Julian Elementary (Bassett Unified),Bassett Unified,13855 Don Julian Rd.,La Puente,CA,91746-2518
Edgewood Academy (Bassett Unified),Bassett Unified,14135 East Fairgrove Ave.,La Puente,CA,91746-1708
J. E. Van Wig Elementary (Bassett Unified),Bassett Unified,1151 North Van Wig Ave.,La Puente,CA,91746-1328
Nueva Vista Continuation High (Bassett Unified),Bassett Unified,904 Willow Ave.,La Puente,CA,91746-1696
St. Louis of France (Bassett Unified),Bassett Unified,13901 East Temple Ave.,La Puente,CA,91746-2021
Sunkist Elementary (Bassett Unified),Bassett Unified,935 Mayland Ave.,La Puente,CA,91746-1625
Torch Middle (Bassett Unified),Bassett Unified,751 North Vineland Ave.,City Of Industry,CA,91746-1914
Adventist Union School (Bellflower Unified),Bellflower Unified,15548 Santa Ana Ave,Bellflower,CA,90706-3547
Albert Baxter Elementary (Bellflower Unified),Bellflower Unified,14929 Cerritos Ave.,Bellflower,CA,90706-2827
Bellflower Adult Education Center (Bellflower Unified),Bellflower Unified,6024 Clark Ave.,Lakewood,CA,90712
Bellflower Alternative Education Center (Bellflower Unified),Bellflower Unified,16703 South Clark Ave.,Bellflower,CA,90706-5203
Bellflower High (Bellflower Unified),Bellflower Unified,15301 South McNab Ave.,Bellflower,CA,90706-4101
Craig Williams Elementary (Bellflower Unified),Bellflower Unified,6144 North Clark Ave.,Lakewood,CA,90712-1211
Creative Day Academy (Bellflower Unified),Bellflower Unified,8740 Ramona St.,Bellflower,CA,90706-6321
Ernie Pyle Elementary (Bellflower Unified),Bellflower Unified,14500 South Woodruff Ave.,Bellflower,CA,90706-3237
Esther Lindstrom Elementary (Bellflower Unified),Bellflower Unified,5900 North Canehill St.,Lakewood,CA,90713-1251
Frank E. Woodruff Elementary (Bellflower Unified),Bellflower Unified,15332 South Eucalyptus St.,Bellflower,CA,90706-3706
Intensive Learning Center (Bellflower Unified),Bellflower Unified,4718 East Michelson St.,Lakewood,CA,90712-1851
Las Flores Home Education Independent Study Academy (Bellflower Unified),Bellflower Unified,10039 East Palm St.,Bellflower,CA,90706-6013
Mayfair High (Bellflower Unified),Bellflower Unified,6000 North Woodruff Ave.,Lakewood,CA,90713-1124
Ramona Elementary (Bellflower Unified),Bellflower Unified,9351 East Laurel St.,Bellflower,CA,90706-5615
Saint Joseph High School (Bellflower Unified),Bellflower Unified,5825 North Woodruff Ave.,Lakewood,CA,90713-1198
Somerset Continuation High (Bellflower Unified),Bellflower Unified,9242 East Laurel St.,Bellflower,CA,90706-7607
Southland Christian Academy (Bellflower Unified),Bellflower Unified,16400 Woodruff Ave.,Bellflower,CA,90706-4912
St. Bernard (Bellflower Unified),Bellflower Unified,9626 Park St.,Bellflower,CA,90607-9060
Stephen Foster Elementary (Bellflower Unified),Bellflower Unified,5223 East Bigelow St.,Lakewood,CA,90712-2023
Thomas Jefferson Elementary (Bellflower Unified),Bellflower Unified,10027 East Rose St.,Bellflower,CA,90706-6916
Valley Christian Elementary School (Bellflower Unified),Bellflower Unified,17408 Grand Ave.,Bellflower,CA,90706-6822
Washington Elementary (Bellflower Unified),Bellflower Unified,9725 East Jefferson St.,Bellflower,CA,90706-3615
Wonderland Preschool (Bellflower Unified),Bellflower Unified,10440 Artesia Blvd,Bellflower,CA,90706-6872
Beverly Hills High (Beverly Hills Unified),Beverly Hills Unified,241 Moreno Dr.,Beverly Hills,CA,90212-3639
Beverly Vista Middle (Beverly Hills Unified),Beverly Hills Unified,200 South Elm Dr.,Beverly Hills,CA,90212-4011
El Rodeo Elementary (Beverly Hills Unified),Beverly Hills Unified,605 North Whittier Dr.,Beverly Hills,CA,90210-3112
Futures Academy - Beverly Hills (Beverly Hills Unified),Beverly Hills Unified,"8484 Wilshire Blvd., Ste. 220",Beverly Hills,CA,90211-3223
Good Shepherd Catholic School (Beverly Hills Unified),Beverly Hills Unified,148 South Linden Dr.,Beverly Hills,CA,90212-2209
Harkham Hillel Hebrew Academy (Beverly Hills Unified),Beverly Hills Unified,9120 West Olympic Blvd.,Beverly Hills,CA,90212-3508
Hawthorne Elementary (Beverly Hills Unified),Beverly Hills Unified,624 North Rexford Dr.,Beverly Hills,CA,90210-3312
Horace Mann Elementary (Beverly Hills Unified),Beverly Hills Unified,8701 Charleville Blvd.,Beverly Hills,CA,90211-2805
Moreno High (Continuation) (Beverly Hills Unified),Beverly Hills Unified,255 South Lasky Dr.,Beverly Hills,CA,90212-3640
Page School-Beverly Hills (Beverly Hills Unified),Beverly Hills Unified,419 South Robertson Blvd.,Beverly Hills,CA,90211-3603
The Lights of God Academy Homeschool (Beverly Hills Unified),Beverly Hills Unified,256 S Robertson Blvd #38,Beverly Hills,CA,90211-2811
J. Marion Roynon Elementary (Bonita Unified),Bonita Unified,2715 E St.,La Verne,CA,91750-1437
Joan Macy School (Bonita Unified),Bonita Unified,1350 Third St.,La Verne,CA,91750-5201
