rowid,school,district,street,city,state,zip
1411,Thirty-Second Street/ 32nd St. USC Performing Arts(LAUSD),Los Angeles Unified,822 West 32nd St.,Los Angeles,CA,90007-3601
1412,Thomas A. Edison Middle(LAUSD),Los Angeles Unified,6500 Hooper Ave.,Los Angeles,CA,90001-1264
1413,Thomas Jefferson Senior High(LAUSD),Los Angeles Unified,1319 East 41st St.,Los Angeles,CA,90011-3301
1414,Thomas Riley High School - CYESIS(LAUSD),Los Angeles Unified,1524 East 103rd St.,Los Angeles,CA,90002-3307
1415,Thomas Starr King Middle School Film and Media Magnet(LAUSD),Los Angeles Unified,4201 Fountain Ave.,Los Angeles,CA,90029-2223
1416,Warner Avenue Elementary(LAUSD),Los Angeles Unified,615 Holmby Ave.,Los Angeles,CA,90024-2535
1417,"Washington Irving Middle School Math, Music and Engineering Magnet(LAUSD)",Los Angeles Unified,3010 Estara Ave.,Los Angeles,CA,90065-2205
1418,Washington Primary Center(LAUSD),Los Angeles Unified,860 West 112th St.,Los Angeles,CA,90044-4210
1419,Wayfinder Family Services(LAUSD),Los Angeles Unified,5300 Angeles Vista Blvd,Los Angeles,CA,90043-1648
1420,Wee lil people(LAUSD),Los Angeles Unified,752 East Lincoln St.,Carson,CA,90745-6010
1421,Weigand Avenue Elementary(LAUSD),Los Angeles Unified,10401 Weigand Ave.,Los Angeles,CA,90002-3865
1422,Welby Way Charter Elementary School And Gifted-High Ability Magnet(LAUSD),Los Angeles Unified,23456 Welby Way,West Hills,CA,91307-3328
1423,WESM Health/Sports Medicine(LAUSD),Los Angeles Unified,7400 West Manchester Ave.,Los Angeles,CA,90045-2322
1424,West Adams Preparatory High(LAUSD),Los Angeles Unified,1500 West Washington Blvd.,Los Angeles,CA,90007-1257
1425,West Athens Elementary(LAUSD),Los Angeles Unified,1110 West 119th St.,Los Angeles,CA,90044-6504
1426,West Hollywood Children's Academy(LAUSD),Los Angeles Unified,1030 North Vista St.,West Hollywood,CA,90046-6618
1427,West Hollywood College Preparatory School(LAUSD),Los Angeles Unified,1317 North Crescent Heights Blvd.,West Hollywood,CA,90046-4506
1428,West Hollywood Elementary(LAUSD),Los Angeles Unified,970 North Hammond St.,West Hollywood,CA,90069-4407
1429,West Hollywood Opportunity(LAUSD),Los Angeles Unified,1049 North Fairfax Ave.,West Hollywood,CA,90046-6151
1430,West Valley Christian School(LAUSD),Los Angeles Unified,22450 Sherman Way,West Hills,CA,91307-2326
1431,West Valley Occupational Center(LAUSD),Los Angeles Unified,6200 Winnetka Ave.,Woodland Hills,CA,91367
1432,William J. Johnston Community Day(LAUSD),Los Angeles Unified,2210 Taper Ave.,San Pedro,CA,90731-1162
1433,William Jefferson Clinton Middle(LAUSD),Los Angeles Unified,3500 South Hill St.,Los Angeles,CA,90007-4333
1434,William Mulholland Middle(LAUSD),Los Angeles Unified,17120 Vanowen St.,Lake Balboa,CA,91406-4449
1435,William R. Anton Elementary(LAUSD),Los Angeles Unified,831 North Bonnie Beach Pl.,Los Angeles,CA,90063-3404
1436,William Tell Aggeler Opportunity High(LAUSD),Los Angeles Unified,21050 Plummer St.,Chatsworth,CA,91311-4903
1437,Willow Elementary(LAUSD),Los Angeles Unified,2777 Willow Pl.,South Gate,CA,90280-2816
1438,"Wilmington Middle Science, Technology, Engineering, Arts, Mathematics (STEAM) Magnet(LAUSD)",Los Angeles Unified,1700 Gulf Ave.,Wilmington,CA,90744-1311
1439,Wilmington Park Elementary(LAUSD),Los Angeles Unified,1140 Mahar Ave.,Wilmington,CA,90744-3815
1440,Wilshire Crest Elementary(LAUSD),Los Angeles Unified,5241 West Olympic Blvd.,Los Angeles,CA,90036-4902
1441,Wilshire Park Elementary(LAUSD),Los Angeles Unified,4063 Ingraham St.,Los Angeles,CA,90005-3217
1442,Wilton Place Elementary(LAUSD),Los Angeles Unified,745 South Wilton Pl.,Los Angeles,CA,90005-3552
1443,Windsor Hills Math Science(LAUSD),Los Angeles Unified,5215 Overdale Dr.,Los Angeles,CA,90043-2020
1444,Windward School(LAUSD),Los Angeles Unified,11350 Palms Blvd.,Los Angeles,CA,90066-2104
1445,Winnetka Avenue Elementary(LAUSD),Los Angeles Unified,8240 Winnetka Ave.,Canoga Park,CA,91306-1899
1446,Wisdom Elementary(LAUSD),Los Angeles Unified,1125 East 74th St.,Los Angeles,CA,90001-2405
1447,Wise School(LAUSD),Los Angeles Unified,15500 Stephen S Wise Dr,Los Angeles,CA,90077-1520
1448,WISH Community(LAUSD),Los Angeles Unified,6550 West 80th St.,Los Angeles,CA,90045-1127
1449,Wonderland Avenue Elementary(LAUSD),Los Angeles Unified,8510 Wonderland Ave.,Los Angeles,CA,90046-1451
1450,Virtual Academy STEAM Leadership and Public Service (LAUSD),Los Angeles Unified,,,,
1451,Lovine and Young Center (Regional HS #1) (LAUSD),Los Angeles Unified,,,,
1452,Virtual Academy Computer Science (LAUSD),Los Angeles Unified,,,,
1453,Virtual Academy STEAM Business and Entrepreneurship (LAUSD),Los Angeles Unified,,,,
1454,Virtual Academy STEAM (LAUSD),Los Angeles Unified,,,,
1455,Virtual Academy International Studies and World Languages (LAUSD),Los Angeles Unified,,,,
1456,Pueblo de Los Angeles Continuation(LAUSD),Los Angeles Unified,2506 Alta St.,Los Angeles,CA,90031-2457
1457,Saturn Street Elementary(LAUSD),Los Angeles Unified,5360 Saturn St.,Los Angeles,CA,90019-3960
1458,School for the Visual Arts and Humanities(LAUSD),Los Angeles Unified,701 South Catalina St.,Los Angeles,CA,90005-1943
1459,School of Business and Tourism at Contreras Learning Complex(LAUSD),Los Angeles Unified,322 Lucas Ave.,Los Angeles,CA,90017-1406
1460,Science Academy STEM Magnet(LAUSD),Los Angeles Unified,5525 Vineland Ave.,North Hollywood,CA,91601-2730
1461,St. Rose of Lima Catholic(LAUSD),Los Angeles Unified,4422 East 60th St.,Maywood,CA,90270-3103
1462,St. Teresa of Avila Elementary(LAUSD),Los Angeles Unified,2215 Fargo St.,Los Angeles,CA,90039-3107
1463,St. Timothy School(LAUSD),Los Angeles Unified,10479 West Pico Blvd.,Los Angeles,CA,90064-2307
1464,St. Turibius Elementary(LAUSD),Los Angeles Unified,1524 Essex St.,Los Angeles,CA,90021-2615
1465,St. Vincent Elementary School(LAUSD),Los Angeles Unified,2333 South Figueroa,Los Angeles,CA,90007-2501
1466,Stagg Street Elementary(LAUSD),Los Angeles Unified,7839 Amestoy Ave.,Van Nuys,CA,91406-1602
1467,Stanford Avenue Elementary(LAUSD),Los Angeles Unified,2833 Illinois Ave.,South Gate,CA,90280-4005
1468,Stanford Primary Center(LAUSD),Los Angeles Unified,3020 Kansas Ave.,South Gate,CA,90280-4108
1469,Stanley Mosk Elementary(LAUSD),Los Angeles Unified,7335 Lubao Ave.,Winnetka,CA,91306-3670
1470,Star Christian(LAUSD),Los Angeles Unified,2120 Estrella Ave.,Los Angeles,CA,90007-2042
1471,State Street Elementary(LAUSD),Los Angeles Unified,3211 Santa Ana St.,South Gate,CA,90280-2305
1472,STEM Academy at Bernstein High(LAUSD),Los Angeles Unified,1309 North Wilton Pl.,Hollywood,CA,90028-8526
1473,STEM3 Academy(LAUSD),Los Angeles Unified,6455 Coldwater Canyon Ave,Valley Glen,CA,91606-1112
1474,STEM3 Academy West(LAUSD),Los Angeles Unified,12095 W. Washington Blvd.,Los Angeles,CA,90066
1475,Stephen M. White Middle(LAUSD),Los Angeles Unified,22102 South Figueroa St.,Carson,CA,90745-4404
1476,Stonehurst Avenue Elementary(LAUSD),Los Angeles Unified,9851 Stonehurst Ave.,Sun Valley,CA,91352-1222
1477,Valerio Street Elementary(LAUSD),Los Angeles Unified,15035 Valerio St.,Van Nuys,CA,91405-1742
1478,Valley Academy of Arts and Sciences(LAUSD),Los Angeles Unified,10445 Balboa Blvd.,Granada Hills,CA,91344-7323
1479,Valley Beth Shalom Day School(LAUSD),Los Angeles Unified,15739 Ventura Blvd.,Encino,CA,91436-2903
1480,Valley Oaks Center for Enriched Studies(LAUSD),Los Angeles Unified,9171 Telfair Ave.,Sun Valley,CA,91352-1844
1481,Valley School(LAUSD),Los Angeles Unified,15700 Sherman Way,Lake Balboa,CA,91406-4025
1482,Valley Torah High School(LAUSD),Los Angeles Unified,12517 Chandler Blvd,Valley Village,CA,91607-1925
1483,Valley View Elementary(LAUSD),Los Angeles Unified,6921 Woodrow Wilson Dr.,Los Angeles,CA,90068-1847
1484,Alta California Elementary(LAUSD),Los Angeles Unified,14859 Rayen St.,Panorama City,CA,91402-1508
1485,Alta Loma Elementary(LAUSD),Los Angeles Unified,1745 Vineyard Ave.,Los Angeles,CA,90019-5753
1486,Amanecer Primary Center(LAUSD),Los Angeles Unified,832 South Eastman Ave.,Los Angeles,CA,90023-1929
1487,RFK Comm Schls - Ambassador School - Global Education(LAUSD),Los Angeles Unified,3201 West Eighth St.,Los Angeles,CA,90005-2171
1488,RFK Comm Schls - Ambassador School - Global Leadership(LAUSD),Los Angeles Unified,701 South Catalina St.,Los Angeles,CA,90005-1943
1489,Cahuenga Elementary(LAUSD),Los Angeles Unified,220 South Hobart Blvd.,Los Angeles,CA,90004-5208
1490,Cal Burke High(LAUSD),Los Angeles Unified,14630 Lanark St.,Panorama City,CA,91402-4917
1491,Calabash Charter Academy(LAUSD),Los Angeles Unified,23055 Eugene St.,Woodland Hills,CA,91364-3723
1492,Calahan Street Elementary(LAUSD),Los Angeles Unified,18722 Knapp St.,Northridge,CA,91324-3027
1493,California University FCE(LAUSD),Los Angeles Unified,6556 Fountain Ave.,Los Angeles,CA,90028-7823
1494,Calvary Christian School(LAUSD),Los Angeles Unified,701 Palisades Dr.,Pacific Palisades,CA,90272-2839
1495,Calvert Charter for Enriched Studies(LAUSD),Los Angeles Unified,19850 Delano St.,Woodland Hills,CA,91367-3816
1496,Camellia Avenue Elementary(LAUSD),Los Angeles Unified,7451 Camellia Ave.,North Hollywood,CA,91605-3312
1497,Campbell Hall (Episcopal)(LAUSD),Los Angeles Unified,4533 Laurel Canyon Blvd.,Studio City,CA,91607-4122
1498,Canfield Avenue Elementary(LAUSD),Los Angeles Unified,9233 Airdrome St.,Los Angeles,CA,90035-3201
1499,Canoga Park Elementary(LAUSD),Los Angeles Unified,7438 Topanga Canyon Blvd.,Canoga Park,CA,91303-1210
1500,Canoga Park Senior High(LAUSD),Los Angeles Unified,6850 Topanga Canyon Blvd.,Canoga Park,CA,91303-2354
1501,Cantara Street Elementary(LAUSD),Los Angeles Unified,17950 Cantara St.,Reseda,CA,91335-1408
1502,Canterbury Avenue Elementary(LAUSD),Los Angeles Unified,13670 Montague St.,Arleta,CA,91331-6129
1503,Abraham Lincoln Senior High(LAUSD),Los Angeles Unified,3501 North Broadway,Los Angeles,CA,90031-2856
1504,Belvedere Elementary(LAUSD),Los Angeles Unified,3724 East First St.,Los Angeles,CA,90063-2390
1505,Belvedere Middle(LAUSD),Los Angeles Unified,312 North Record Ave.,Los Angeles,CA,90063-1824
1506,Benjamin Banneker Career and Transition Center(LAUSD),Los Angeles Unified,14024 South San Pedro St.,Los Angeles,CA,90061-2659
1507,Benjamin Franklin Senior High(LAUSD),Los Angeles Unified,820 North Avenue 54,Los Angeles,CA,90042-2428
1508,Berendo Middle(LAUSD),Los Angeles Unified,1157 South Berendo St.,Los Angeles,CA,90006-3301
1509,Berenece Carlson Home Hospital(LAUSD),Los Angeles Unified,10952 Whipple St.,North Hollywood,CA,91602-3235
1510,Berkeley Hall School(LAUSD),Los Angeles Unified,16000 Mulholland Dr.,Los Angeles,CA,90049-1123
1511,Daniel Webster Middle(LAUSD),Los Angeles Unified,11330 West Graham Pl.,Los Angeles,CA,90064-3725
1512,"Danny J. Bakewell, Sr., Primary Center(LAUSD)",Los Angeles Unified,8621 South Baring Cross St.,Los Angeles,CA,90044-4801
1513,Danube Avenue Elementary(LAUSD),Los Angeles Unified,11220 Danube Ave.,Granada Hills,CA,91344-4319
1514,Darby Avenue Elementary(LAUSD),Los Angeles Unified,10818 Darby Ave.,Northridge,CA,91326-3112
1515,David Starr Jordan Senior High(LAUSD),Los Angeles Unified,2265 East 103rd St.,Los Angeles,CA,90002-3132
1516,Dayton Heights Elementary(LAUSD),Los Angeles Unified,607 North Westmoreland Ave.,Los Angeles,CA,90004-2299
1517,De La Salle(LAUSD),Los Angeles Unified,16535 Chatsworth St.,Granada Hills,CA,91344-6705
1518,de Toledo High School(LAUSD),Los Angeles Unified,22622 Vanowen St.,West Hills,CA,91307-2646
1519,Dearborn Elementary Charter Academy(LAUSD),Los Angeles Unified,9240 Wish Ave.,Northridge,CA,91325-2533
1520,Del Amo Elementary(LAUSD),Los Angeles Unified,21228 Water St.,Carson,CA,90745-1849
1521,Delevan Drive Elementary(LAUSD),Los Angeles Unified,4168 West Avenue 42,Los Angeles,CA,90065-4631
1522,Delphi Academy of Los Angeles(LAUSD),Los Angeles Unified,11341 Brainard Ave.,Lake View Terrace,CA,91342-6854
1523,Denker Avenue Elementary(LAUSD),Los Angeles Unified,1620 West 162nd St.,Gardena,CA,90247-3734
1524,Destinations Academy(LAUSD),Los Angeles Unified,"21051 Warner Ctr. Ln., Ste. 220",Woodland Hills,CA,91367-6592
1525,Devin A. Gonzales II Academy Of The Art's and Science Discovery For The Gifted(LAUSD),Los Angeles Unified,336 East 238th St.,Carson,CA,90745-5807
1526,Diane S. Leichman Career Preparatory and Transition Center(LAUSD),Los Angeles Unified,19034 Gault St.,Reseda,CA,91335-3910
1527,Diego Rivera Learning Complex Green Design STEAM Academy(LAUSD),Los Angeles Unified,6100 South Central Ave.,Los Angeles,CA,90001-1133
1528,Discovery School(LAUSD),Los Angeles Unified,18719 Topham St.,Tarzana,CA,91335-6805
1529,Forty-Ninth Street/40th St.Elementary(LAUSD),Los Angeles Unified,750 East 49th St.,Los Angeles,CA,90011-4014
1530,Forty-Second Street/42nd St.Elementary(LAUSD),Los Angeles Unified,4231 Fourth Ave.,Los Angeles,CA,90008-3903
1531,Foshay Learning Center(LAUSD),Los Angeles Unified,3751 South Harvard Blvd.,Los Angeles,CA,90018-4546
1532,Fourth Street/4th St. Elementary(LAUSD),Los Angeles Unified,420 South Amalia Ave.,Los Angeles,CA,90022-2628
1533,Fourth Street/4th St. Primary Center(LAUSD),Los Angeles Unified,469 Amalia Ave.,Los Angeles,CA,90022-2627
1534,Francisco Bravo Medical Magnet High(LAUSD),Los Angeles Unified,1200 North Cornwell St.,Los Angeles,CA,90033-1417
1535,Francisco Sepulveda Middle(LAUSD),Los Angeles Unified,15330 Plummer St.,North Hills,CA,91343-2228
1536,Frank del Olmo Elementary(LAUSD),Los Angeles Unified,100 North New Hampshire Ave.,Los Angeles,CA,90004-4707
1537,Franklin Avenue Elementary(LAUSD),Los Angeles Unified,1910 North Commonwealth Ave.,Los Angeles,CA,90027-2800
1538,Frida Kahlo High(LAUSD),Los Angeles Unified,1924 South Los Angeles St.,Los Angeles,CA,90011-1031
1539,Grover Cleveland Charter High(LAUSD),Los Angeles Unified,8140 Vanalden Ave.,Reseda,CA,91335-1136
1540,Guardian Angel Elementary(LAUSD),Los Angeles Unified,10919 Norris Ave.,Pacoima,CA,91331-7100
1541,Gulf Avenue Elementary(LAUSD),Los Angeles Unified,828 West L St.,Wilmington,CA,90744-3310
1542,Haddon Avenue Elementary(LAUSD),Los Angeles Unified,10115 Haddon Ave.,Pacoima,CA,91331-3208
1543,Halldale Elementary(LAUSD),Los Angeles Unified,21514 Halldale Ave.,Torrance,CA,90501-3016
1544,Hamlin Charter Academy(LAUSD),Los Angeles Unified,22627 Hamlin St.,West Hills,CA,91307-3603
1545,Hobart Boulevard Elementary(LAUSD),Los Angeles Unified,980 South Hobart Blvd.,Los Angeles,CA,90006-1220
1546,Hollenbeck Middle(LAUSD),Los Angeles Unified,2510 East Sixth St.,Los Angeles,CA,90023-1420
1547,Hollywood Elementary(LAUSD),Los Angeles Unified,1115 Tamarind Ave.,Los Angeles,CA,90038-1905
1548,John Tracy Clinic(LAUSD),Los Angeles Unified,806 West Adams Blvd.,Los Angeles,CA,90007-2505
1549,John W. Mack Elementary(LAUSD),Los Angeles Unified,3020 South Catalina St.,Los Angeles,CA,90007-2921
1550,"Johnnie Cochran, Jr., Middle(LAUSD)",Los Angeles Unified,4066 West Johnnie Cochran Vista,Los Angeles,CA,90019-6025
1551,Joseph Le Conte Middle(LAUSD),Los Angeles Unified,1316 North Bronson Ave.,Hollywood,CA,90028-8415
1552,Joseph Pomeroy Widney Career Preparatory and Transition Center(LAUSD),Los Angeles Unified,2302 South Gramercy Pl.,Los Angeles,CA,90018-1323
1553,Judith F. Baca Arts Academy(LAUSD),Los Angeles Unified,1536 East 89th St.,Los Angeles,CA,90002-1316
1554,Judson International School(LAUSD),Los Angeles Unified,1495 E. Colorado Blvd.,Los Angeles,CA,90041-2366
1555,Julie Korenstein Elementary(LAUSD),Los Angeles Unified,7650 Ben Ave.,North Hollywood,CA,91605-2728
1556,Bertrand Avenue Elementary(LAUSD),Los Angeles Unified,7021 Bertrand Ave.,Reseda,CA,91335-4711
1557,Beth Hillel Day(LAUSD),Los Angeles Unified,12326 Riverside Dr.,Valley Village,CA,91607-3608
1558,Bethel Baptist Christian School(LAUSD),Los Angeles Unified,1361 E. Carson St.,Carson,CA,90745-1631
1559,Betty Plasencia Elementary(LAUSD),Los Angeles Unified,1321 Cortez St.,Los Angeles,CA,90026-5622
1560,Beverly Hills RC School(LAUSD),Los Angeles Unified,6550 Fountain Ave,Los Angeles,CA,90028-7823
1561,Birdielee V. Bright Elementary(LAUSD),Los Angeles Unified,1771 West 36th St.,Los Angeles,CA,90018-3812
1562,Bishop Alemany High(LAUSD),Los Angeles Unified,11111 North Alemany Dr.,Mission Hills,CA,91345-1105
1563,Child's World School(LAUSD),Los Angeles Unified,5414 Capistrano Ave.,Woodland Hills,CA,91367-4420
1564,Children Community Academy Inc.(LAUSD),Los Angeles Unified,4737 W Slauson Ave.,Los Angeles,CA,90056-1205
1565,Children's Community School(LAUSD),Los Angeles Unified,14702 Sylvan St.,Van Nuys,CA,91411-2220
1566,Chofetz Chaim Los Angeles Affiliate(LAUSD),Los Angeles Unified,1540 S Robertson Blvd,Los Angeles,CA,90035-4232
1567,Christ Lutheran Church and School(LAUSD),Los Angeles Unified,28850 South Western Ave.,Rancho Palos Verdes,CA,90275-0803
1568,Christ the King Elementary(LAUSD),Los Angeles Unified,617 North Arden Blvd.,Los Angeles,CA,90004-1201
1569,Christopher Columbus Middle(LAUSD),Los Angeles Unified,22250 Elkwood St.,Canoga Park,CA,91304-5501
1570,Christopher Dena Elementary(LAUSD),Los Angeles Unified,1314 Dacotah St.,Los Angeles,CA,90023-2707
1571,Cienega Elementary(LAUSD),Los Angeles Unified,2611 South Orange Dr.,Los Angeles,CA,90016-3515
1572,Cimarron Avenue Elementary(LAUSD),Los Angeles Unified,11559 Cimarron Ave.,Hawthorne,CA,90250-1914
1573,City Kids LA(LAUSD),Los Angeles Unified,5521 Venice Blvd,Los Angeles,CA,90019-5154
1574,City of Angels(LAUSD),Los Angeles Unified,221 South Eastman Ave.,Los Angeles,CA,90063-2423
1575,City Terrace Elementary(LAUSD),Los Angeles Unified,4350 City Terrace Dr.,Los Angeles,CA,90063-1049
1576,Elysian Heights ES Arts Magnet(LAUSD),Los Angeles Unified,1562 Baxter St.,Los Angeles,CA,90026-1972
1577,Fries Avenue Elementary(LAUSD),Los Angeles Unified,1301 Fries Ave.,Wilmington,CA,90744-2510
1578,Fullbright Avenue Elementary(LAUSD),Los Angeles Unified,6940 Fullbright Ave.,Canoga Park,CA,91306-3516
1579,Fusion Academy(LAUSD),Los Angeles Unified,"5757 Wilshire Blvd., Promenade 1",Los Angeles,CA,90036
1580,Fusion Academy(LAUSD),Los Angeles Unified,"825 Colorado Blvd., Ste. 118",Los Angeles,CA,90041-1741
1581,Fusion Academy(LAUSD),Los Angeles Unified,"1640 South Sepulveda Blvd., Ste. 100",Los Angeles,CA,90025-7534
1582,Fusion Academy(LAUSD),Los Angeles Unified,1601 Pacific Coast Hwy. Ste. 260,Hermosa Beach,CA,90254-3267
1583,"Fusion Academy, Warner Center(LAUSD)",Los Angeles Unified,"21650 Oxnard St., Ste. 100",Woodland Hills,CA,91367-4987
1584,Futures Academy - Brentwood(LAUSD),Los Angeles Unified,"12300 Wilshire Blvd., Ste. 110",Los Angeles,CA,90025-1098
1585,Good Shepherd Lutheran School(LAUSD),Los Angeles Unified,6338 N. Figueroa St.,Los Angeles,CA,90042-2733
1586,Graham Elementary(LAUSD),Los Angeles Unified,8407 South Fir Ave.,Los Angeles,CA,90001-4123
1587,Granada Elementary(LAUSD),Los Angeles Unified,17170 Tribune St.,Granada Hills,CA,91344-4899
1588,Granada Preparatory School(LAUSD),Los Angeles Unified,10400 Zelzah Ave,Northridge,CA,91326-3510
1589,Grand View Boulevard Elementary(LAUSD),Los Angeles Unified,3951 Grand View Blvd.,Los Angeles,CA,90066-4551
1590,Grant Elementary(LAUSD),Los Angeles Unified,1530 North Wilton Pl.,Los Angeles,CA,90028-6716
1591,Grape Street Elementary(LAUSD),Los Angeles Unified,1940 East 111th St.,Los Angeles,CA,90059-2002
1592,Gratts Learning Academy for Young Scholars (GLAYS)(LAUSD),Los Angeles Unified,309 Lucas Ave.,Los Angeles,CA,90017-2062
1593,Greene Gables(LAUSD),Los Angeles Unified,8217 Winnetka Ave.,Winnetka,CA,91306-1850
1594,Gridley Street Elementary(LAUSD),Los Angeles Unified,1907 Eighth St.,San Fernando,CA,91340-1009
1595,Griffin Avenue Elementary(LAUSD),Los Angeles Unified,2025 Griffin Ave.,Los Angeles,CA,90031-3003
1596,Griffith Middle(LAUSD),Los Angeles Unified,4765 East Fourth St.,Los Angeles,CA,90022-1846
1597,Junipero Serra High School(LAUSD),Los Angeles Unified,14830 S. Van Ness Ave.,Gardena,CA,90249-3718
1598,"Just Beginning, Inc.(LAUSD)",Los Angeles Unified,1712 West Jefferson,Los Angeles,CA,90018-3910
1599,Justice Street Academy Charter(LAUSD),Los Angeles Unified,23350 Justice St.,West Hills,CA,91304-4402
1600,Kadima Day School(LAUSD),Los Angeles Unified,7011 Shoup Ave.,West Hills,CA,91307-2335
1601,Katherine Johnson STEM Academy(LAUSD),Los Angeles Unified,8701 Parkhill Dr.,Los Angeles,CA,90045-3437
1602,Kehillat Mogen David Spivak Educational Center(LAUSD),Los Angeles Unified,9717 West Pico Blvd.,Los Angeles,CA,90035-4710
1603,Kenter Canyon Elementary Charter(LAUSD),Los Angeles Unified,645 North Kenter Ave.,Los Angeles,CA,90049-1946
1604,Kentwood Elementary(LAUSD),Los Angeles Unified,8401 Emerson Ave.,Los Angeles,CA,90045-2890
1605,Kester Avenue Elementary(LAUSD),Los Angeles Unified,5353 Kester Ave.,Van Nuys,CA,91411-4022
1606,Kids' World School(LAUSD),Los Angeles Unified,3525 Glenhurst Ave.,Los Angeles,CA,90039-2124
1607,Kidsville USA(LAUSD),Los Angeles Unified,8464 Corbin Ave.,Northridge,CA,91324-4128
1608,Los Angeles Center for Enriched Studies(LAUSD),Los Angeles Unified,5931 West 18th St.,Los Angeles,CA,90035-4656
1609,Los Angeles Christian Academy(LAUSD),Los Angeles Unified,4622 Wadsworth Ave,Los Angeles,CA,90011-9001
1610,Los Angeles Christian School(LAUSD),Los Angeles Unified,1620 West 20th St.,Los Angeles,CA,90007-1101
1611,Los Angeles Elementary(LAUSD),Los Angeles Unified,1211 South Hobart Blvd.,Los Angeles,CA,90006-3113
1612,RFK Comm Schls - Los Angeles High School of the Arts(LAUSD),Los Angeles Unified,701 South Catalina St.,Los Angeles,CA,90005-1943
1613,Los Angeles Senior High(LAUSD),Los Angeles Unified,4650 West Olympic Blvd.,Los Angeles,CA,90019-1831
1614,Los Angeles Technology Center(LAUSD),Los Angeles Unified,3721 West Washington Blvd.,Los Angeles,CA,90018
1615,Los Encinos School(LAUSD),Los Angeles Unified,17100 Ventura Blvd.,Encino,CA,91316-4003
1616,Los Feliz Science/Tech/Engineer/Math/Medicine Magnet(LAUSD),Los Angeles Unified,1740 North New Hampshire Ave.,Los Angeles,CA,90027-4208
1617,Lovelia P. Flournoy Elementary(LAUSD),Los Angeles Unified,1630 East 111th St.,Los Angeles,CA,90059-1908
1618,Loyola Village Fine And Performing Arts Magnet(LAUSD),Los Angeles Unified,8821 Villanova Ave.,Los Angeles,CA,90045-3496
1619,Northridge Academy High(LAUSD),Los Angeles Unified,9601 Zelzah Ave.,Northridge,CA,91325-2010
1620,Northridge Middle(LAUSD),Los Angeles Unified,17960 Chase St.,Northridge,CA,91325-3811
1621,Norwood Street Elementary(LAUSD),Los Angeles Unified,2020 Oak St.,Los Angeles,CA,90007-1307
1622,Robert H. Lewis Continuation(LAUSD),Los Angeles Unified,12508 Wicks St.,Sun Valley,CA,91352-2953
1623,Robert Hill Lane Elementary(LAUSD),Los Angeles Unified,1500 Avenida Cesar Chavez,Monterey Park,CA,91754-6020
1624,Robert Louis Stevenson College and Career Preparatory(LAUSD),Los Angeles Unified,725 South Indiana St.,Los Angeles,CA,90023-1840
1625,Rockdale Visual & Performing Arts Magnet(LAUSD),Los Angeles Unified,1303 Yosemite Dr.,Los Angeles,CA,90041-2434
1626,Rockland Academy(LAUSD),Los Angeles Unified,5340 Topanga Canyon Blvd,Woodland Hills,CA,91364-1718
1627,Rolling Hills Preparatory School and Renaissance Program(LAUSD),Los Angeles Unified,One Rolling Hills Prep Way,San Pedro,CA,90732-5200
1628,Rosa Parks Learning Center(LAUSD),Los Angeles Unified,8855 Noble Ave.,North Hills,CA,91343-5518
1629,Roscoe Elementary(LAUSD),Los Angeles Unified,10765 Strathern St.,Sun Valley,CA,91352-4644
1630,Roscomare Road Elementary(LAUSD),Los Angeles Unified,2425 Roscomare Rd.,Los Angeles,CA,90077-1812
1631,Rosemont Avenue Elementary(LAUSD),Los Angeles Unified,421 North Rosemont Ave.,Los Angeles,CA,90026-4994
1632,Rosewood Avenue Elementary(LAUSD),Los Angeles Unified,503 North Croft Ave.,Los Angeles,CA,90048-2510
1633,Rowan Avenue Elementary(LAUSD),Los Angeles Unified,600 South Rowan Ave.,Los Angeles,CA,90023-1826
1634,Spectrum Center- Long Beach Middle Market Street(LAUSD),Los Angeles Unified,1022 E Market St,Long Beach,CA,90805-6034
1635,St. Agnes Parish School(LAUSD),Los Angeles Unified,1428 West Adams Blvd.,Los Angeles,CA,90007-1640
1636,St. Alphonsus School(LAUSD),Los Angeles Unified,552 South Amalia Ave.,Los Angeles,CA,90022-2630
1637,St. Anastasia Elementary(LAUSD),Los Angeles Unified,8631 South Stanmoor Dr.,Los Angeles,CA,90045-2331
1638,Emek Hebrew Academy Teichman Family Torah Center(LAUSD),Los Angeles Unified,15365 Magnolia Blvd,Sherman Oaks,CA,91403-1135
1639,Emelita Street Elementary(LAUSD),Los Angeles Unified,17931 Hatteras St.,Encino,CA,91316-1037
1640,Emerson Community Charter(LAUSD),Los Angeles Unified,1650 Selby Ave.,Los Angeles,CA,90024-5716
1641,Enadia Way Technology Charter(LAUSD),Los Angeles Unified,22944 Enadia Way,West Hills,CA,91307-2206
1642,Encino Charter Elementary(LAUSD),Los Angeles Unified,16941 Addison St.,Encino,CA,91316-3433
1643,Engineering and Technology Academy at Esteban E. Torres High No. 3(LAUSD),Los Angeles Unified,4211 Dozier St.,Los Angeles,CA,90063-3422
1644,Ernest Lawrence Middle(LAUSD),Los Angeles Unified,10100 Variel Ave.,Chatsworth,CA,91311-3050
1645,Ernest P. Willenberg Special Education Center(LAUSD),Los Angeles Unified,308 Weymouth Ave.,San Pedro,CA,90732-3426
1646,Erwin Elementary(LAUSD),Los Angeles Unified,13400 Erwin St.,Van Nuys,CA,91401-3014
