id,district_x,district_y,original_name_x,original_name_y,status,school_name,school_name_with_some_districts_attached,participating,address_x,address_y,city_x,city_y,score,duped
822,LAUSD,LAUSD,Los Angeles Senior High,Los Angeles Senior High,Active,Los Angeles Senior High (LAUSD),Los Angeles Senior High,True,4650 W Olympic Blvd,4650 West Olympic Blvd.,Los Angeles,Los Angeles, 97.02970297029702,False
823,LAUSD,LAUSD,Los Angeles Senior High STEAM Magnet,Los Angeles Senior High,Active,Los Angeles Senior High STEAM Magnet (LAUSD),Los Angeles Senior High STEAM Magnet,True,4650 W Olympic Blvd,4650 West Olympic Blvd.,Los Angeles,Los Angeles, 90.2020202020202,False
824,LAUSD,LAUSD,Los Feliz Science/Tech/Engineer/Math/Medicine Magnet,Los Feliz Science/Tech/Engineer/Math/Medicine Magnet,Active,Los Feliz Science/Tech/Engineer/Math/Medicine Magnet (LAUSD),Los Feliz Science/Tech/Engineer/Math/Medicine Magnet,True,1740 N New Hampshire Ave,1740 North New Hampshire Ave.,Los Angeles,Los Angeles, 97.6470588235294,False
825,LAUSD,LAUSD,Lovelia P Flournoy Elementary,Lovelia P. Flournoy Elementary,Active,Lovelia P Flournoy Elementary (LAUSD),Lovelia P Flournoy Elementary,True,1630 E 111th St,1630 East 111th St.,Los Angeles,Los Angeles, 97.14285714285714,False
826,LAUSD,LAUSD,Lovelia P Flournoy Elementary STEAM Magnet,Lovelia P. Flournoy Elementary,Active,Lovelia P Flournoy Elementary STEAM Magnet (LAUSD),Lovelia P Flournoy Elementary STEAM Magnet,True,1630 E 111th St,1630 East 111th St.,Los Angeles,Los Angeles, 90.3883495145631,False
827,LAUSD,LAUSD,Loyola Village Elementary Fine/Performing Arts Magnet,Loyola Village Fine And Performing Arts Magnet,Active,Loyola Village Elementary Fine/Performing Arts Magnet (LAUSD),Loyola Village Elementary Fine/Performing Arts Magnet,True,8821 Villanova Ave,8821 Villanova Ave.,Los Angeles,Los Angeles, 92.24637681159419,False
828,LAUSD,LAUSD,Lucille Roybal-Allard Elementary,Lucille Roybal-Allard Elementary,Active,Lucille Roybal-Allard Elementary (LAUSD),Lucille Roybal-Allard Elementary,True,3232 Saturn Ave,3232 Saturn Ave.,Huntington Park,Huntington Park, 100.0,False
829,LAUSD,LAUSD,Lucille Roybal-Allard Elementary DL Two-Way Im Spanish,Lucille Roybal-Allard Elementary,Active,Lucille Roybal-Allard Elementary DL Two-Way Im Spanish (LAUSD),Lucille Roybal-Allard Elementary DL Two-Way Im Spanish,True,3232 Saturn Ave,3232 Saturn Ave.,Huntington Park,Huntington Park, 95.0,False
830,LAUSD,LAUSD,Lucille Roybal-Allard Elementary DREAMS Magnet,Lucille Roybal-Allard Elementary,Active,Lucille Roybal-Allard Elementary DREAMS Magnet (LAUSD),Lucille Roybal-Allard Elementary DREAMS Magnet,True,3232 Saturn Ave,3232 Saturn Ave.,Huntington Park,Huntington Park, 95.0,False
831,LAUSD,,Luther Burbank Middle School Arts/Technology/Community Mag,,,Luther Burbank Middle School Arts/Technology/Community Mag (LAUSD),Luther Burbank Middle School Arts/Technology/Community Mag,True,6460 N Figueroa St,,Los Angeles,,,False
832,LAUSD,,Luther Burbank Middle School Police Academy Magnet,,,Luther Burbank Middle School Police Academy Magnet (LAUSD),Luther Burbank Middle School Police Academy Magnet,True,6468 N Figueroa St,,Los Angeles,,,False
833,LAUSD,LAUSD,MacArthur Park Elementary Visual and Performing Arts,MacArthur Park Elementary School for the Visual and Performing Arts,Active,MacArthur Park Elementary Visual and Performing Arts (LAUSD),MacArthur Park Elementary Visual and Performing Arts,True,2300 W 7th St,2300 West Seventh St.,Los Angeles,Los Angeles, 90.86956521739131,False
834,LAUSD,,Macarthur Park VPA DL Two-Way Im Spanish,,,Macarthur Park VPA DL Two-Way Im Spanish (LAUSD),Macarthur Park VPA DL Two-Way Im Spanish,True,2300 W 7th St,,Los Angeles,,,False
835,LAUSD,LAUSD,Madison Elementary,Madison Elementary,Active,Madison Elementary (LAUSD),Madison Elementary (LAUSD),True,9820 Madison Ave,9820 Madison Ave.,South Gate,South Gate, 100.0,True
836,LAUSD,,Madison Elementary DL Two-Way Im Spanish,,,Madison Elementary DL Two-Way Im Spanish (LAUSD),Madison Elementary DL Two-Way Im Spanish,True,9820 Madison Ave,,South Gate,,,False
837,LAUSD,LAUSD,Magnolia Avenue Elementary,Magnolia Avenue Elementary,Active,Magnolia Avenue Elementary (LAUSD),Magnolia Avenue Elementary,True,1626 S Orchard Ave,1626 South Orchard Ave.,Los Angeles,Los Angeles, 96.22641509433963,False
838,LAUSD,LAUSD,Magnolia Avenue Elementary DL One & Two-Way Im Spanish,Magnolia Avenue Elementary,Active,Magnolia Avenue Elementary DL One & Two-Way Im Spanish (LAUSD),Magnolia Avenue Elementary DL One & Two-Way Im Spanish,True,1626 S Orchard Ave,1626 South Orchard Ave.,Los Angeles,Los Angeles, 89.51923076923076,False
839,LAUSD,LAUSD,Main Street Elementary,Main Street Elementary,Active,Main Street Elementary (LAUSD),Main Street Elementary,True,129 E 53rd St,129 East 53rd St.,Los Angeles,Los Angeles, 96.55172413793103,False
