,district_x,name,address_x,city,original_name_x,Match,simple_name,district_y,status,address_y,Score,,,
50,Charter,animo-watts,12628 Avalon Blvd.,Los Angeles,Animo Watts,"[('animo watts college preparatory academy', 90.0, 'animo-watts-college-preparatory-academy')]",animo-watts-college-preparatory-academy,,,,90,,,
51,Charter,animo-westside,5456 McConnell Ave.,Los Angeles,Animo Westside,"[('animo westside charter middle', 90.0, 'animo-westside-charter-middle')]",animo-westside-charter-middle,,,,90,,,
52,Charter,apex-academy,"1309 N Wilton Place, 3rd Floor",Los Angeles,APEX Academy,"[('apex academy', 100.0, 'apex-academy')]",apex-academy,Los Angeles Unified,Active,"1309 North Wilton Pl., 3rd Fl.",100,,,
53,Charter,arts-in-action-charter-(east-la),"1241 S Soto St., Ste. 212",Los Angeles,Arts in Action Charter (East LA),[],,,,,,,,
54,Charter,aspire-antonio-maria-lugo-academy,6100 Carmelita Avenue,Huntington Park,Aspire Antonio Maria Lugo Academy,"[('aspire antonio maria lugo academy', 100.0, 'aspire-antonio-maria-lugo-academy')]",aspire-antonio-maria-lugo-academy,Los Angeles County Office of Education,Active,6100 Carmelita Ave.,100,,,
55,Charter,aspire-centennial-college-preparatory-academy,2079 Saturn Ave,Huntington Park,Aspire Centennial College Preparatory Academy,"[('aspire centennial college preparatory academy', 100.0, 'aspire-centennial-college-preparatory-academy')]",aspire-centennial-college-preparatory-academy,Los Angeles Unified,Active,2079 Saturn Ave.,100,,,
56,Charter,aspire-firestone-academy,8929 Kauffman Ave,South Gate,Aspire Firestone Academy,"[('aspire firestone academy charter', 95.0, 'aspire-firestone-academy-charter')]",aspire-firestone-academy-charter,,,,95,,,
57,Charter,aspire-gateway-charter-academy,8929 Kauffman Ave,South Gate,Aspire Gateway Charter Academy,"[('aspire gateway academy charter', 95.0, 'aspire-gateway-academy-charter')]",aspire-gateway-academy-charter,,,,95,,,
58,Charter,aspire-inskeep-academy-charter,123 W 59th St,Los Angeles,Aspire Inskeep Academy Charter,"[('aspire inskeep academy charter', 100.0, 'aspire-inskeep-academy-charter')]",aspire-inskeep-academy-charter,Los Angeles Unified,Active,123 West 59th St.,100,,,
59,Charter,aspire-junior-collegiate-academy,6724 S Alameda St,Huntington Park,Aspire Junior Collegiate Academy,"[('aspire junior collegiate academy', 100.0, 'aspire-junior-collegiate-academy')]",aspire-junior-collegiate-academy,Los Angeles Unified,Active,6724 South Alameda St.,100,,,
60,Charter,aspire-ollin-university-preparatory-academy,2540 East 58th Street,Huntington Park,Aspire Ollin University Preparatory Academy,"[('aspire ollin university preparatory academy', 100.0, 'aspire-ollin-university-preparatory-academy')]",aspire-ollin-university-preparatory-academy,Los Angeles County Office of Education,Active,2540 East 58th St.,100,,,
61,Charter,aspire-pacific-academy,2565 58th St,Huntington Park,Aspire Pacific Academy,"[('aspire pacific academy', 100.0, 'aspire-pacific-academy')]",aspire-pacific-academy,Los Angeles Unified,Active,2565 58th St.,100,,,
62,Charter,aspire-slauson-academy-elementary,123 W 59th St,Los Angeles,Aspire Slauson Academy Elementary,[],,,,,,,,
63,Charter,aspire-juanita-tate-academy-elementary,123 W 59th St,Los Angeles,Aspire Juanita Tate Academy Elementary,[],,,,,,,,
